profile,font_size,classification,confidence,percentage,notes
profile238,25,large,,0.0,AUTO-ADDED
profile239,16,small,,0.4,AUTO-ADDED
profile239,17,small,,0.3,AUTO-ADDED
profile239,22,regular,,99.1,AUTO-ADDED
profile239,28,large,,0.2,AUTO-ADDED
profile240,17,small,,3.3,AUTO-ADDED
profile240,18,small,,18.4,AUTO-ADDED
profile240,19,regular,,31.2,AUTO-ADDED
profile240,20,regular,?,0.1,AUTO-ADDED
profile240,22,regular,?,30.8,AUTO-ADDED
profile240,24,regular,?,16.1,AUTO-ADDED
profile241,14,small,,0.3,AUTO-ADDED
profile241,18,small,,17.9,AUTO-ADDED
profile241,24,regular,,81.5,AUTO-ADDED
profile241,26,large,,0.3,AUTO-ADDED
profile242,14,small,,0.1,AUTO-ADDED
profile242,18,small,,24.1,AUTO-ADDED
profile242,22,regular,,0.0,AUTO-ADDED
profile242,24,regular,,75.6,AUTO-ADDED
profile242,26,large,,0.2,AUTO-ADDED
profile243,14,small,,0.6,AUTO-ADDED
profile243,16,small,,0.6,AUTO-ADDED
profile243,18,small,,24.7,AUTO-ADDED
profile243,20,small,,0.0,AUTO-ADDED
profile243,22,regular,,0.0,AUTO-ADDED
profile243,24,regular,,74.1,AUTO-ADDED
profile244,14,small,,0.1,AUTO-ADDED
profile244,23,regular,,98.6,AUTO-ADDED
profile244,26,large,,1.4,AUTO-ADDED
profile245,14,small,,0.5,AUTO-ADDED
profile245,22,regular,,98.4,AUTO-ADDED
profile245,26,large,,1.2,AUTO-ADDED
profile246,14,small,,0.4,AUTO-ADDED
profile246,17,small,,13.9,AUTO-ADDED
profile246,18,small,,33.3,AUTO-ADDED
profile246,22,regular,,11.6,AUTO-ADDED
profile246,23,regular,,1.0,AUTO-ADDED
profile246,24,regular,,39.8,AUTO-ADDED
profile247,16,small,,0.2,AUTO-ADDED
profile247,18,small,,0.4,AUTO-ADDED
profile247,20,small,,1.4,AUTO-ADDED
profile247,23,regular,,97.6,AUTO-ADDED
profile247,25,regular,,0.4,AUTO-ADDED
