file,pattern,match_or_content,context
archive/VE005/UT005_0041.xml,short_head,༔,"<hi rend=""head"">༔</hi>"
archive/VE005/UT005_0041.xml,short_head,ཚྭ,"<hi rend=""head"">ཚྭ</hi>"
archive/VE005/UT005_0041.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE005/UT005_0041.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE005/UT005_0041.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE005/UT005_0046.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE005/UT005_0046.xml,short_head,༔ ,"<hi rend=""head"">༔ </hi>"
archive/VE005/UT005_0046.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE005/UT005_0046.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE006/UT006_0003.xml,short_head,ོ་,"<hi rend=""head"">ོ་</hi>"
archive/VE006/UT006_0005.xml,short_head,༔,"<hi rend=""head"">༔</hi>"
archive/VE006/UT006_0009.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE006/UT006_0014.xml,short_head,ཆོ,"<hi rend=""head"">ཆོ</hi>"
archive/VE006/UT006_0016.xml,short_head,ས,"<hi rend=""head"">ས</hi>"
archive/VE006/UT006_0016.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE006/UT006_0016.xml,short_head,ལི,"<hi rend=""head"">ལི</hi>"
archive/VE006/UT006_0016.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE006/UT006_0017.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE006/UT006_0019.xml,short_head,ནི,"<hi rend=""head"">ནི</hi>"
