file,pattern,match_or_content,context
archive/VE010/UT010_0012.xml,isolated_dot,བ.ན,"""small"">ཀླའདིའི་བར་རྐང་པ་བ.ན་ཨ་འཛམ་པར་མར་མི་བཞུགས་པས་"
archive/VE010/UT010_0012.xml,isolated_dot,ོ.བ,འཛམ་པར་མར་མི་བཞུགས་པས་དཔྱོ.བླ</hi>།འཕོ་དང་འགྱུར་བ་མེད
archive/VE010/UT010_0037.xml,curly_brace,{,">ཨ<hi rend=""small"">ཤ</hi>{ར་གྲོལ<hi rend=""small"">ཇ<"
archive/VE010/UT010_0043.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0001.xml,short_head,དང,"<hi rend=""head"">དང</hi>"
archive/VE011/UT011_0001.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0001.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0001.xml,short_head,ལྡ,"<hi rend=""head"">ལྡ</hi>"
archive/VE011/UT011_0002.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0003.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0003.xml,short_head,ྃ,"<hi rend=""head"">ྃ</hi>"
archive/VE011/UT011_0003.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0003.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0003.xml,short_head,ོ,"<hi rend=""head"">ོ</hi>"
archive/VE011/UT011_0004.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0005.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0005.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE011/UT011_0005.xml,short_head,ི་,"<hi rend=""head"">ི་</hi>"
archive/VE011/UT011_0005.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0006.xml,isolated_dot,ི.།,"ོན་འགྲོ་རིན་པོ་ཆེའི་པྲ་ཁྲི.། </hi> <lb/><hi rend=""hea"
archive/VE011/UT011_0006.xml,short_head,༈,"<hi rend=""head"">༈</hi>"
archive/VE011/UT011_0006.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0007.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0007.xml,short_head,ས,"<hi rend=""head"">ས</hi>"
archive/VE011/UT011_0007.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0007.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0007.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0007.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0007.xml,short_head,ཇུ,"<hi rend=""head"">ཇུ</hi>"
archive/VE011/UT011_0007.xml,short_head,ཐ,"<hi rend=""head"">ཐ</hi>"
archive/VE011/UT011_0007.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE011/UT011_0007.xml,short_head,བླ,"<hi rend=""head"">བླ</hi>"
archive/VE011/UT011_0008.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0008.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0009.xml,short_head,བོ,"<hi rend=""head"">བོ</hi>"
archive/VE011/UT011_0009.xml,short_head,དྲ,"<hi rend=""head"">དྲ</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0010.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
